code,q10,cte,thr,decay,ctmax,max.pf,ta.opt,breadth.50,breadth.80,r.square,n.samples,K.param,AIC,type,code2
Lzu,2.422716462,0.132496128,17.58853984,0.001448453,43.86384489,1.645025612,34.9,20.94,11.78,0.973300278,7,5,-6.558005866,#run,Lzu
af,4.766181776,0.011343315,10.70920424,0.002706459,29.93123488,0.252502216,24.6,12.74,7.12,0.978568004,6,5,-8.238861339,fit,af
as,5.574482353,0.009280573,16.39456984,0.009562755,26.62063338,0.28537502,22.3,9.69,5.51,0.865523503,6,5,3.545150192,fit,as
ag1,2.323462113,0.046727403,15.12904294,0.001659507,39.67672512,0.37164447,30.5,21.1,11.93,0.868143091,6,5,0.451029441,fit,ag1
ag2,3.069488289,0.040240239,16.05223463,0.003366495,33.28722421,0.497124145,26.5,15.45,8.75,0.952395098,8,5,-14.86282999,fit,ag2
ag3,3.834350188,0.023597438,12.97025589,0.002513503,32.91646066,0.44930992,26.8,14.38,8.06,0.985806196,5,5,-8.190306334,fit,ag3
bf1,3.420604407,0.010500948,24.24602233,0.011620181,33.52272314,0.27598999,28.5,11.34,6.25,0.974415726,6,5,-12.63037378,fit,bf1
bf2,4.088534501,0.007613147,19.67010093,0.004002347,35.47685268,0.298153941,29.9,12.97,7.31,0.988798785,6,5,-16.29517006,fit,bf2
cc,4.654039703,0.001003332,20.88784687,0.005030124,34.98757253,0.058908948,29.9,11.77,6.64,0.970193034,5,5,-4.979199965,fit,cc
co,4.271962905,0.002117176,20.96206327,0.005313242,34.68099251,0.094055712,29.4,12.07,6.83,0.87003701,9,5,-0.220073941,fit,co
cp,4.048610042,0.009835356,16.63602198,0.002957637,35.02372706,0.311138443,29.2,13.66,7.66,0.983799095,6,5,-9.365639638,fit,cp
cf,3.789214311,0.001942018,24.40929387,0.003534042,41.23077157,0.124332742,35.3,13.73,7.74,0.884027275,9,5,-5.472845275,fit,cf
da,5.211298914,0.001697694,21.42018751,0.005085877,35.44241777,0.151589212,30.6,11.21,6.31,0.996179664,7,5,-28.37793813,fit,da
dc,3.776732864,0.005915009,25.45936246,0.028714584,31.36067666,0.201241869,27.5,9.06,4.57,0.992858373,5,5,-12.97834556,fit,dc
eb,4.101981031,0.005014664,22.37017632,0.005967587,35.315134,0.225876446,30,11.99,6.81,0.992365093,5,5,-14.40391626,fit,eb
efu,6.932828106,0.001025153,21.43945902,0.006142073,34.19921947,0.187843856,30,9.75,5.47,0.954099019,5,5,-2.620124428,fit,efu
gt,4.098014105,0.00808119,19.41257132,0.004117843,34.99607552,0.301121065,29.4,12.88,7.26,0.931975342,5,5,0.416472224,fit,gt
hn1,4.218244169,0.002703406,19.17419504,0.004592054,33.93114145,0.098206655,28.5,12.47,7.04,0.892583646,6,5,0.879735948,fit,hn1
hn2,3.418148832,0.003637846,26.13115166,0.016268652,33.97129878,0.111529243,29.3,10.61,5.63,0.920017066,6,5,-1.189768485,fit,hn2
hh,4.218202385,0.003758374,21.56601173,0.009185801,31.99978738,0.13354913,27.2,10.84,6.16,0.849204365,5,5,-1.793730575,fit,hh
lb,2.393585646,0.00367068,25.06724404,0.009927456,35.10371442,0.039061743,28.8,14.39,7.47,0.88803298,7,5,-3.119094584,fit,lb
ld,2.073358744,0.00559736,31.83854094,0.027196816,37.90228647,0.059835863,33.1,13.66,6.01,0.961266406,8,5,-15.18407421,fit,ld
le,3.653386983,0.001743937,23.12584986,0.005272073,36.89823971,0.065199769,31.2,12.94,7.36,0.838162906,7,5,-1.830409255,fit,le
lp,3.273967619,0.001446495,22.97644196,0.002819252,41.81003015,0.054434935,35.2,15.41,8.68,0.91511851,7,5,-7.889155636,fit,lp
lt,4.142196838,0.000590478,25.04235653,0.008644364,35.79792795,0.033546405,30.9,11.06,6.28,0.858551612,7,5,-1.515522163,fit,lt
ls1,3.657146496,0.008037905,18.47229013,0.003658818,35.00444948,0.205303055,29,13.89,7.84,0.949900495,5,5,0.61994027,fit,ls1
